course_id,text,filtered_text,count
C_677014,怎么内容是庖丁解牛,内容庖丁解牛,1.0
C_677014,中国文化博大精深,中国文化博大精深,1.0
C_677014,中国文化博大精深,中国文化博大精深,1.0
C_677014,中国文化博大精深,中国文化博大精深,1.0
C_677014,中国文化博大精深,中国文化博大精深,1.0
C_677014,中国文化博大精深,中国文化博大精深,1.0
C_677014,中国文化博大精深,中国文化博大精深,1.0
C_677014,谢谢很喜欢您,谢谢喜欢,1.0
C_677014,谢谢老师辛苦了喜欢,谢谢老师辛苦喜欢,1.0
C_677014,老师讲的很好生动有趣,老师讲生动有趣,1.0
C_677014,有趣的中国文化,有趣中国文化,1.0
C_677014,中国优秀传统文化源远流长博大精深,中国优秀传统文化源远流长博大精深,1.0
C_677014,老师的方言太地道了,老师方言太地道,1.0
C_677014,真好,真,1.0
C_677014,棒棒,棒棒,1.0
C_677014,讲的特别好,讲特别,1.0
C_677014,幸苦老师谢谢,幸苦老师谢谢,1.0
C_677014,琴声喜欢,琴声喜欢,1.0
C_677014,讲的很有道理,讲道理,1.0
C_677014,佛教文化的第五讲视频错误了,佛教文化第五讲视频错误,1.0
C_677014,钟老师讲的太棒啦比心,钟老师讲太棒比心,1.0
C_677014,挺有趣的,挺有趣,1.0
C_677014,老师讲的非常好,老师讲非常,1.0
C_677014,先后二字在晋南地区也有使用,先后二字晋南地区使用,1.0
C_677014,老师讲的很清楚,老师讲清楚,1.0
C_677014,老师讲的很好,老师讲,1.0
C_677014,老师讲的好有趣啊,老师讲有趣,1.0
C_677014,老师上课的方式很轻松有趣,老师上课方式轻松有趣,1.0
C_677014,老师讲的很好,老师讲,1.0
C_677014,老师讲的很好,老师讲,1.0
C_677014,老师讲的很好深入浅出,老师讲深入浅出,1.0
C_677014,老师讲的很好,老师讲,1.0
C_677014,和是中国闻名于世界的独到品质很多民族都以自身利益为尊到了华夏却主以和为贵这也是中国能够轻易在世界上与各国建好的主要原因之一,中国闻名于世界独到品质很多民族利益尊到华夏却主以和为贵中国能够轻易在世界上各国建好主要原因,1.0
C_677014,在与孔子的联系中讲庄子,孔子联系讲庄子,1.0
C_677014,受益匪浅,受益匪浅,1.0
C_677014,很精辟,精辟,1.0
C_677014,老师讲课很重视逻辑联系性,老师讲课重视逻辑联系性,1.0
C_677014,同意楼上同学,同意楼上同学,1.0
C_677014,讲得真好干干净净清清楚楚轻轻松松安安静静老师的样子也让人看了好舒服,讲得真好干干净净清清楚楚轻轻松松安安静静老师样子舒服,1.0
C_677014,讲得好学到了以前不了解的关于琴的知识故事讲得好,讲得学到以前了解琴知识故事讲得,1.0
C_677014,听明白了,听明白,1.0
C_677014,应该是佛教的特点啊,应该佛教特点,1.0
C_677014,讲得很好,讲得,1.0
C_677014,讲得好成功了,讲得成功,1.0
C_677014,不知道这门课啥时候考试呢,知道这门课啥时候考试,1.0
C_677014,非常棒,非常棒,1.0
C_677014,通俗易懂,通俗易懂,1.0
C_677014,是我卡吗,卡,1.0
C_677014,讲的很精髓,讲精髓,1.0
C_677014,难道我们的不用期末测试吗奇怪,难道不用期末测试奇怪,1.0
C_677014,我也是只有50多,50,1.0
C_677014,知行合一致良知,知行合一良知,1.0
