course_id,text,filtered_text,count
C_769273,有点难,有点难,1.0
C_769273,打卡,打卡,89.0
C_769273,马克思是一个热爱哲学也是一位伟大的思想家,马克思热爱哲学一位伟大思想家,1.0
C_769273,马克思的一生为人类解放的崇高理想而奋斗一生伟人,马克思一生人类解放崇高理想奋斗一生伟人,1.0
C_769273,恩格斯是马克斯的厚盾,恩格斯马克斯厚盾,1.0
C_769273,恩格斯是马克思的坚强厚盾,恩格斯马克思坚强厚盾,1.0
C_769273,马克思的一生是胸怀崇高理想为人类解放不懈奋斗是不畏艰难险阻为追求真理而勇攀思想高峰是为推翻旧世界建立新世界而不息战斗的一生马克思也是近代以来最伟大的思想家,马克思一生胸怀崇高理想人类解放不懈奋斗不畏艰难险阻追求真理勇攀思想高峰推翻旧世界建立新世界不息战斗一生马克思近代伟大思想家,3.0
C_769273,马克思主义很伟大马克思主义给我带来了深远的意义让我受益匪浅,马克思主义伟大马克思主义带来深远意义受益匪浅,1.0
C_769273,马克思的一生是胸怀崇高理想为人类解放不懈奋斗的一生,马克思一生胸怀崇高理想人类解放不懈奋斗一生,5.0
C_769273,马克思是一个有广博的学问深邃的思想更在于他以远见目光给了这世界一线光明他以激扬人类正义的满腔热忱给了这世界一份温暖,马克思广博学问深邃思想远见目光世界一线光明激扬人类正义满腔热忱世界一份温暖,1.0
C_769273,马克思是马克思主义无产阶级革命理论的创始人缔造者是伟大的无产阶级革命家是全世界无产阶级和劳动人民的革命导师是无产阶级的精神领袖,马克思马克思主义无产阶级革命理论创始人缔造者伟大无产阶级革命家全世界无产阶级劳动人民革命导师无产阶级精神领袖,1.0
C_769273,马克思主义哲学是马克思主义的世界观和方法论是马克思主义的理论基础是马克思主义最根本的理论特征马克思是马克思主义无产阶级革命理论的创始人缔造者是伟大的无产阶级革命家,马克思主义哲学马克思主义世界观方法论马克思主义理论基础马克思主义根本理论特征马克思马克思主义无产阶级革命理论创始人缔造者伟大无产阶级革命家,1.0
C_769273,马克思是一个博学的人也是一个热衷于矛盾而自身又充满矛盾的思想家是马克思主义无产阶级革命理论的创始人缔造者,马克思博学热衷于矛盾充满矛盾思想家马克思主义无产阶级革命理论创始人缔造者,1.0
C_769273,不畏艰难险阻为追求真理而勇攀思想高峰,不畏艰难险阻追求真理勇攀思想高峰,1.0
C_769273,马克思坚持一切从实际出发联系实际实事求是在实践中检验真理和发展真理,马克思坚持实际出发联系实际实事求是在实践中检验真理发展真理,1.0
C_769273,坚持以什么思想理论为指导是文化建设的首要问题关系到政党的性质国家的方向关系到民族的命脉人心的凝聚,坚持思想理论指导文化建设首要问题关系政党性质国家方向关系民族命脉人心凝聚,1.0
C_769273,马克思是一个真正的伟人他有胸怀有理想他为了自己的目标不懈努力,马克思真正伟人胸怀理想目标不懈努力,1.0
C_769273,马克思是全世界无产阶级和劳动人民的革命导师是马克思主义的主要创始人是马克思主义政党的缔造者和国际共产主义的开创者是近代以来最伟大的思想家,马克思全世界无产阶级劳动人民革命导师马克思主义主要创始人马克思主义政党缔造者国际共产主义开创者近代伟大思想家,2.0
C_769273,马克思是一个伟大的人不懈努力,马克思伟大不懈努力,1.0
